"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 16 05:50:09 UTC 2026","Sat May 16 05:50:15 UTC 2026","6101","","","","","","Home Page - Download app section is displayed",""
"broken","Sat May 16 06:19:58 UTC 2026","Sat May 16 06:22:51 UTC 2026","172947","","","","","","Home Page - Navigate to stays booking page",""
"passed","Sat May 16 05:48:44 UTC 2026","Sat May 16 05:49:02 UTC 2026","18770","","","","","","Home Page - Navigate to accessibility page",""
"passed","Sat May 16 05:49:38 UTC 2026","Sat May 16 05:49:43 UTC 2026","5360","","","","","","Home Page - Navigate to refund policy page",""
"broken","Sat May 16 06:03:37 UTC 2026","Sat May 16 06:06:29 UTC 2026","171522","","","","","","Customer Signup - Email field validation on customer signup",""
"passed","Sat May 16 05:49:15 UTC 2026","Sat May 16 05:49:20 UTC 2026","5191","","","","","","Home Page - Navigate to disruptions page",""
"broken","Sat May 16 06:00:42 UTC 2026","Sat May 16 06:03:37 UTC 2026","174967","","","","","","Customer Signup - Successful customer signup",""
"broken","Sat May 16 06:22:51 UTC 2026","Sat May 16 06:25:44 UTC 2026","172948","","","","","","Home Page - Navigate to terms of use page",""
"broken","Sat May 16 06:19:58 UTC 2026","Sat May 16 06:22:51 UTC 2026","173542","","","","","","Home Page - Navigate to cars booking page",""
"broken","Sat May 16 06:00:42 UTC 2026","Sat May 16 06:03:34 UTC 2026","172021","","","","","","Customer Signup - Last name field validation on customer signup",""
"passed","Sat May 16 05:49:53 UTC 2026","Sat May 16 05:49:58 UTC 2026","4778","","","","","","Home Page - Navigate to careers page",""
"passed","Sat May 16 05:49:58 UTC 2026","Sat May 16 05:50:03 UTC 2026","5190","","","","","","Home Page - Navigate to investors page",""
"passed","Sat May 16 05:55:55 UTC 2026","Sat May 16 05:56:01 UTC 2026","5792","","","","","","Home Page - Navigate to login page",""
"passed","Sat May 16 05:50:03 UTC 2026","Sat May 16 05:50:09 UTC 2026","5404","","","","","","Home Page - Navigate to affiliate program page",""
"broken","Sat May 16 06:31:48 UTC 2026","Sat May 16 06:34:33 UTC 2026","164957","","","","","","Home Page - Navigate to tours booking page",""
"broken","Sat May 16 06:22:51 UTC 2026","Sat May 16 06:26:05 UTC 2026","194505","","","","","","Home Page - Navigate to visa booking page",""
"passed","Sat May 16 05:49:27 UTC 2026","Sat May 16 05:49:33 UTC 2026","6030","","","","","","Home Page - Navigate to travel documents page",""
"broken","Sat May 16 06:31:18 UTC 2026","Sat May 16 06:34:04 UTC 2026","165471","","","","","","Home Page - Navigate to flight booking page",""
"broken","Sat May 16 06:32:01 UTC 2026","Sat May 16 06:34:47 UTC 2026","165543","","","","","","Home Page - Navigate to about us page",""
"passed","Sat May 16 05:49:33 UTC 2026","Sat May 16 05:49:38 UTC 2026","4824","","","","","","Home Page - Navigate to best travel deals page",""
"broken","Sat May 16 06:28:32 UTC 2026","Sat May 16 06:31:18 UTC 2026","166525","","","","","","Home Page - Navigate to agent signup page",""
"passed","Sat May 16 05:48:44 UTC 2026","Sat May 16 05:49:01 UTC 2026","17798","","","","","","Home Page - Header navigation links are present",""
"broken","Sat May 16 06:25:39 UTC 2026","Sat May 16 06:28:47 UTC 2026","188200","","","","","","Home Page - Change language to Russian",""
"passed","Sat May 16 05:48:44 UTC 2026","Sat May 16 05:49:01 UTC 2026","17161","","","","","","Home Page - Home page loads successfully",""
"broken","Sat May 16 06:19:58 UTC 2026","Sat May 16 06:22:50 UTC 2026","172125","","","","","","Home Page - Navigate to customer signup page",""
"broken","Sat May 16 06:22:50 UTC 2026","Sat May 16 06:25:39 UTC 2026","169430","","","","","","Home Page - Navigate to cookies policy page",""
"passed","Sat May 16 05:49:20 UTC 2026","Sat May 16 05:49:27 UTC 2026","6859","","","","","","Home Page - Navigate to travel insurance page",""
