"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 07 12:27:00 UTC 2026","Thu May 07 12:27:18 UTC 2026","17600","","","","","","Home Page - Navigate to flight booking page",""
"passed","Thu May 07 12:25:41 UTC 2026","Thu May 07 12:26:07 UTC 2026","26438","","","","","","Customer Authentication - Successful customer login and session storage",""
"passed","Thu May 07 12:27:25 UTC 2026","Thu May 07 12:27:50 UTC 2026","25046","","","","","","Agent Signup - Successful agent signup",""
"passed","Thu May 07 12:26:37 UTC 2026","Thu May 07 12:27:02 UTC 2026","25151","","","","","","Customer Signup - Successful customer signup",""
"skipped","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:10 UTC 2026","0","","","","","","Customer Authentication - Successful customer login and session storage",""
"passed","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:37 UTC 2026","26403","","","","","","Customer Signup - Email field validation on customer signup",""
"passed","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:37 UTC 2026","26777","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"skipped","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:10 UTC 2026","4","","","","","","Agent Authentication - Successful agent login and session storage",""
"passed","Thu May 07 12:27:02 UTC 2026","Thu May 07 12:27:22 UTC 2026","20498","","","","","","Home Page - Home page loads successfully",""
"passed","Thu May 07 12:27:03 UTC 2026","Thu May 07 12:27:25 UTC 2026","22202","","","","","","Agent Signup - First name field validation on agent signup",""
"passed","Thu May 07 12:25:41 UTC 2026","Thu May 07 12:26:07 UTC 2026","26255","","","","","","Admin Authentication - Successful admin login and session storage",""
"passed","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:39 UTC 2026","28805","","","","","","Home Page - Download app section is displayed",""
"passed","Thu May 07 12:26:39 UTC 2026","Thu May 07 12:27:00 UTC 2026","20828","","","","","","Home Page - Change language to Russian",""
"passed","Thu May 07 12:27:18 UTC 2026","Thu May 07 12:27:36 UTC 2026","18638","","","","","","Home Page - Navigate to cars booking page",""
"skipped","Thu May 07 12:26:10 UTC 2026","Thu May 07 12:26:10 UTC 2026","1","","","","","","Admin Authentication - Successful admin login and session storage",""
"passed","Thu May 07 12:27:36 UTC 2026","Thu May 07 12:27:53 UTC 2026","17127","","","","","","Home Page - Navigate to tours booking page",""
"passed","Thu May 07 12:26:37 UTC 2026","Thu May 07 12:27:03 UTC 2026","26019","","","","","","Agent Signup - Password field validation on agent signup",""
"passed","Thu May 07 12:27:22 UTC 2026","Thu May 07 12:27:41 UTC 2026","18674","","","","","","Home Page - Header navigation links are present",""
"passed","Thu May 07 12:25:41 UTC 2026","Thu May 07 12:26:07 UTC 2026","25821","","","","","","Agent Authentication - Successful agent login and session storage",""
"passed","Thu May 07 12:27:41 UTC 2026","Thu May 07 12:27:55 UTC 2026","14444","","","","","","Home Page - Navigate to visa booking page",""
