"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 13:47:13 UTC 2026","Mon May 18 13:47:19 UTC 2026","6062","","","","","","Home Page - Header navigation links are present",""
"broken","Mon May 18 14:05:27 UTC 2026","Mon May 18 14:08:19 UTC 2026","172333","","","","","","Home Page - Navigate to flight booking page",""
"passed","Mon May 18 13:40:46 UTC 2026","Mon May 18 13:41:12 UTC 2026","26147","","","","","","Admin Authentication - Successful admin login and session storage",""
"passed","Mon May 18 13:41:18 UTC 2026","Mon May 18 13:41:37 UTC 2026","18938","","","","","","Home Page - Download app section is displayed",""
"broken","Mon May 18 14:08:18 UTC 2026","Mon May 18 14:11:06 UTC 2026","167830","","","","","","Agent Signup - Successful agent signup",""
"broken","Mon May 18 14:05:54 UTC 2026","Mon May 18 14:09:01 UTC 2026","186727","","","","","","Home Page - Navigate to visa booking page",""
"broken","Mon May 18 14:08:19 UTC 2026","Mon May 18 14:11:08 UTC 2026","168850","","","","","","Home Page - Navigate to tours booking page",""
"broken","Mon May 18 14:02:32 UTC 2026","Mon May 18 14:05:26 UTC 2026","174186","","","","","","Customer Signup - Successful customer signup",""
"passed","Mon May 18 13:40:46 UTC 2026","Mon May 18 13:41:13 UTC 2026","26681","","","","","","Customer Authentication - Successful customer login and session storage",""
"broken","Mon May 18 14:02:32 UTC 2026","Mon May 18 14:05:54 UTC 2026","202410","","","","","","Home Page - Change language to Russian",""
"broken","Mon May 18 14:11:08 UTC 2026","Mon May 18 14:13:57 UTC 2026","168856","","","","","","Agent Signup - First name field validation on agent signup",""
"passed","Mon May 18 13:47:03 UTC 2026","Mon May 18 13:47:13 UTC 2026","9894","","","","","","Home Page - Home page loads successfully",""
"broken","Mon May 18 14:02:32 UTC 2026","Mon May 18 14:05:27 UTC 2026","174610","","","","","","Customer Signup - Email field validation on customer signup",""
"broken","Mon May 18 14:05:26 UTC 2026","Mon May 18 14:08:18 UTC 2026","171543","","","","","","Agent Signup - Password field validation on agent signup",""
"passed","Mon May 18 13:40:46 UTC 2026","Mon May 18 13:41:11 UTC 2026","25411","","","","","","Agent Authentication - Successful agent login and session storage",""
"broken","Mon May 18 14:11:06 UTC 2026","Mon May 18 14:13:55 UTC 2026","169241","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"broken","Mon May 18 14:09:01 UTC 2026","Mon May 18 14:11:47 UTC 2026","166192","","","","","","Home Page - Navigate to cars booking page",""
